latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.744116,-0.864258,50.0,0,GMT,GMT

time,wind_speed_10m (m/s),wind_direction_10m (deg),temperature_2m (C),surface_pressure (hPa),relative_humidity_2m (percent),shortwave_radiation (W/m**2),direct_normal_irradiance (W/m**2),diffuse_radiation (W/m**2),dew_point_2m (C),snow_depth (m),rain (mm),albedo (percent)
2012-01-04 15:00:00,5.390464643583358,248.4369023859527,8.215560326499599,1013.25,70.0,75.79191365890212,119.47889663179944,57.321371445150106,6.215560326499599,0.0,0.0,20.0
2012-01-04 16:00:00,5.755740417793728,242.02975851126288,8.106384168749173,1013.25,70.0,32.10707677255418,0.0,32.10707677255418,6.106384168749173,0.0,0.0,20.0
2012-01-04 17:00:00,6.010597604009535,242.38038267124008,7.923405077085249,1013.25,70.0,0.9000000357627868,0.0,0.9000000357627868,5.923405077085249,0.0,0.0,20.0
2012-01-04 18:00:00,6.633287409519912,243.65225003806543,7.955030397039138,1013.25,70.0,0.0,0.0,0.0,5.955030397039138,0.0,0.0,20.0
2012-01-04 19:00:00,6.923608047682791,242.64507309429257,8.04983440213374,1013.25,70.0,0.0,0.0,0.0,6.04983440213374,0.0,0.0,20.0
2012-01-04 20:00:00,7.077787096116088,244.6835872440981,8.206046307665133,1013.25,70.0,0.0,0.0,0.0,6.206046307665133,0.0,0.0,20.0
2012-01-04 21:00:00,7.528602893864827,250.1979945252932,8.321872391861348,1013.25,70.0,0.0,0.0,0.0,6.321872391861348,0.0,0.0,20.0
2012-01-04 22:00:00,7.795320976188295,253.74912545404163,8.435993413405868,1013.25,70.0,0.0,0.0,0.0,6.435993413405868,0.0,0.0,20.0
2012-01-04 23:00:00,8.175814682332103,259.8190958524737,8.34823088292842,1013.25,70.0,0.0,0.0,0.0,6.348230882928419,0.0,0.0,20.0
2012-01-05 00:00:00,8.388977167743393,263.58951405812456,8.5016857579501,1013.25,70.0,0.0,0.0,0.0,6.501685757950099,0.0,0.0,20.0
2012-01-05 01:00:00,8.298387676460546,262.4048251998521,8.423920799332052,1013.25,70.0,0.0,0.0,0.0,6.423920799332052,0.0,0.0,20.0
2012-01-05 02:00:00,8.474126132810436,260.96356741834404,8.528087693819998,1013.25,70.0,0.0,0.0,0.0,6.528087693819998,0.0,0.0,20.0
2012-01-05 03:00:00,8.397816396100234,262.8644008732512,8.647911180036829,1013.25,70.0,0.0,0.0,0.0,6.647911180036829,0.0,0.0,20.0
2012-01-05 04:00:00,8.537311057863217,263.86123559935515,8.708878153246076,1013.25,70.0,0.0,0.0,0.0,6.708878153246076,0.0,0.0,20.0
2012-01-05 05:00:00,8.586503412649353,263.4802464721386,8.805877235017874,1013.25,70.0,0.0,0.0,0.0,6.805877235017874,0.0,0.0,20.0
2012-01-05 06:00:00,8.81123378150329,264.1325865864489,8.861213262268961,1013.25,70.0,0.0,0.0,0.0,6.861213262268961,0.0,0.0,20.0
2012-01-05 07:00:00,9.197828496376228,269.02745238269614,9.18743097014385,1013.25,70.0,0.0,0.0,0.0,7.187430970143851,0.0,0.0,20.0
2012-01-05 08:00:00,9.484725820323744,272.8130868418533,9.46143201573625,1013.25,70.0,0.0,0.0,0.0,7.46143201573625,0.0,0.0,20.0
2012-01-05 09:00:00,9.61239717899306,273.8979381782542,9.620003401969939,1013.25,70.0,2.880230707685252,0.0,2.880230707685252,7.620003401969939,0.0,0.0,20.0
2012-01-05 10:00:00,9.516438217586783,280.2658367836676,9.792081205540114,1013.25,70.0,11.07724175648113,0.0,11.07724175648113,7.792081205540114,0.0,0.0,20.0
2012-01-05 11:00:00,9.374913276541882,282.6002797542866,10.193421826012695,1013.25,70.0,16.328574893109174,0.0,16.328574893109174,8.193421826012695,0.0,0.0,20.0
2012-01-05 12:00:00,11.00045047122517,288.2776933687787,10.316347996367426,1013.25,70.0,33.31469926923052,0.0,33.31469926923052,8.316347996367426,0.0,0.0,20.0
2012-01-05 13:00:00,11.07107065410795,298.96435149058794,10.258083430557463,1013.25,70.0,71.41266138689329,0.0,71.41266138689329,8.258083430557463,0.0,0.0,20.0
2012-01-05 14:00:00,9.490648882457617,304.74445809548234,9.948045751678137,1013.25,70.0,122.8782611911854,95.37635812113164,99.14378775747056,7.948045751678137,0.0,0.0,20.0
2012-01-05 15:00:00,8.213541448959576,301.093470212811,9.337478509921652,1013.25,70.0,111.07620784238046,422.85284922177226,44.664327391318665,7.337478509921652,0.0,0.0,20.0
2012-01-05 16:00:00,8.360768156970343,305.1321331950482,9.057739299124876,1013.25,70.0,50.72409726303149,0.0,50.72409726303149,7.057739299124876,0.0,0.0,20.0
2012-01-05 17:00:00,7.598481825332789,307.949687556001,8.74880683285187,1013.25,70.0,1.6369369298338172,0.0,1.6369369298338172,6.748806832851869,0.0,0.0,20.0
2012-01-05 18:00:00,6.7958312518466375,308.1716468364241,8.420667169242051,1013.25,70.0,0.0,0.0,0.0,6.420667169242051,0.0,0.0,20.0
2012-01-05 19:00:00,6.579494467682458,310.94189236731245,8.12571654277724,1013.25,70.0,0.0,0.0,0.0,6.125716542777241,0.0,0.0,20.0
2012-01-05 20:00:00,6.025422244829236,311.78263283656685,7.851137651376462,1013.25,70.0,0.0,0.0,0.0,5.851137651376462,0.0,0.0,20.0
2012-01-05 21:00:00,5.532264252926058,310.949086329691,7.4479117607625085,1013.25,70.0,0.0,0.0,0.0,5.4479117607625085,0.0,0.0,20.0
2012-01-05 22:00:00,5.308068125552765,314.00726960830326,7.009769978025929,1013.25,70.0,0.0,0.0,0.0,5.009769978025929,0.0,0.0,20.0
2012-01-05 23:00:00,5.033481505883828,310.96259259069154,6.826992985705601,1013.25,70.0,0.0,0.0,0.0,4.826992985705601,0.0,0.0,20.0
2012-01-06 00:00:00,4.827852321355638,313.1258991146285,6.818712081954118,1013.25,70.0,0.0,0.0,0.0,4.818712081954118,0.0,0.0,20.0
2012-01-06 01:00:00,4.734754208006518,310.3303705279867,6.42901956427545,1013.25,70.0,0.0,0.0,0.0,4.42901956427545,0.0,0.0,20.0
2012-01-06 02:00:00,4.822461972057239,311.5461868027779,6.408027343794856,1013.25,70.0,0.0,0.0,0.0,4.408027343794856,0.0,0.0,20.0
2012-01-06 03:00:00,4.9821737222973645,315.2640841643445,6.2376475185237155,1013.25,70.0,0.0,0.0,0.0,4.2376475185237155,0.0,0.0,20.0
2012-01-06 04:00:00,5.070075328865774,319.34253002537105,6.0583434109906875,1013.25,70.0,0.0,0.0,0.0,4.0583434109906875,0.0,0.0,20.0
2012-01-06 05:00:00,4.866860546172863,324.7191189239753,5.787652021629697,1013.25,70.0,0.0,0.0,0.0,3.7876520216296967,0.0,0.0,20.0
2012-01-06 06:00:00,4.540868683795247,327.8963462122278,5.3653415421592285,1013.25,70.0,0.0,0.0,0.0,3.3653415421592285,0.0,0.0,20.0
2012-01-06 07:00:00,4.099534575701298,328.7015666776792,4.928300699608258,1013.25,70.0,0.0,0.0,0.0,2.9283006996082577,0.0,0.0,20.0
2012-01-06 08:00:00,3.458997681201124,328.0257115475283,4.7957335044610545,1013.25,70.0,0.0,0.0,0.0,2.7957335044610545,0.0,0.0,20.0
2012-01-06 09:00:00,3.0156491656820013,324.44350397139544,5.062927150763073,1013.25,70.0,34.64065425154723,0.0,34.64065425154723,3.0629271507630733,0.0,0.0,20.0
2012-01-06 10:00:00,2.553428712557696,314.4243972199181,6.410831035451565,1013.25,70.0,127.68992716964937,178.29270059295987,87.24240746866712,4.410831035451565,0.0,0.0,20.0
2012-01-06 11:00:00,3.8361030554032816,326.0074580997391,7.734844139422819,1013.25,70.0,204.43547948331863,341.95802450856206,104.0687399707149,5.734844139422819,0.0,0.0,20.0
2012-01-06 12:00:00,3.716943340345532,321.1226712014913,8.6668536274276,1013.25,70.0,269.2295871565101,591.4873253647932,79.63408126864769,6.666853627427599,0.0,0.0,20.0
2012-01-06 13:00:00,4.089995126551834,309.600120246133,8.932557356485518,1013.25,70.0,221.86981772629235,382.7269557281654,104.70844705630684,6.932557356485518,0.0,0.0,20.0
2012-01-06 14:00:00,4.444563536800702,303.0983136890921,9.02645756430644,1013.25,70.0,189.30567439787376,463.4142513607429,72.87922961419483,7.02645756430644,0.0,0.0,20.0
2012-01-06 15:00:00,3.5392706494295134,294.877301215102,8.606089677229079,1013.25,70.0,99.25278213692538,288.9876572294287,53.12425773999944,6.606089677229079,0.0,0.0,20.0
2012-01-06 16:00:00,2.4716123526801344,280.9673782123704,7.575715911126849,1013.25,70.0,41.70875930919988,0.0,41.70875930919988,5.575715911126849,0.0,0.0,20.0
2012-01-06 17:00:00,2.254824872539141,268.144837257895,6.78626736432426,1013.25,70.0,1.8477476716515533,0.0,1.8477476716515533,4.78626736432426,0.0,0.0,20.0
2012-01-06 18:00:00,2.324920922013249,255.53885448287,6.600658247201807,1013.25,70.0,0.0,0.0,0.0,4.600658247201807,0.0,0.0,20.0
2012-01-06 19:00:00,2.68889618166714,247.8042766930049,6.511115200714528,1013.25,70.0,0.0,0.0,0.0,4.511115200714528,0.0,0.0,20.0
2012-01-06 20:00:00,3.022840728163754,246.214688713808,6.874318032160147,1013.25,70.0,0.0,0.0,0.0,4.874318032160147,0.0,0.0,20.0
2012-01-06 21:00:00,3.3879906181573465,240.34951792774552,7.275043010355944,1013.25,70.0,0.0,0.0,0.0,5.275043010355944,0.0,0.0,20.0
2012-01-06 22:00:00,4.254900789300108,239.5192369243813,7.411595356715736,1013.25,70.0,0.0,0.0,0.0,5.411595356715736,0.0,0.0,20.0
2012-01-06 23:00:00,4.444535903485144,250.12272888762777,7.780263811460202,1013.25,70.0,0.0,0.0,0.0,5.780263811460202,0.0,0.0,20.0
2012-01-07 00:00:00,4.631437747721159,261.6076356702645,7.956096612984538,1013.25,70.0,0.0,0.0,0.0,5.956096612984538,0.0,0.0,20.0
2012-01-07 01:00:00,4.627828944885174,266.99942373327343,8.18229624926903,1013.25,70.0,0.0,0.0,0.0,6.182296249269029,0.0,0.0,20.0
2012-01-07 02:00:00,4.402429558542012,264.8306826285981,8.45887399191247,1013.25,70.0,0.0,0.0,0.0,6.458873991912469,0.0,0.0,20.0
2012-01-07 03:00:00,4.598430329318129,264.49341830988726,8.634897111487362,1013.25,70.0,0.0,0.0,0.0,6.634897111487362,0.0,0.0,20.0
2012-01-07 04:00:00,4.954130958361788,271.41931002165217,8.784966840993434,1013.25,70.0,0.0,0.0,0.0,6.784966840993434,0.0,0.0,20.0
2012-01-07 05:00:00,5.269645715593314,275.7383444772872,8.777332815993702,1013.25,70.0,0.0,0.0,0.0,6.777332815993702,0.0,0.0,20.0
2012-01-07 06:00:00,5.218644684429934,275.17544103348,8.678002869856073,1013.25,70.0,0.0,0.0,0.0,6.678002869856073,0.0,0.0,20.0
2012-01-07 07:00:00,5.224981859773679,273.6324744774428,8.7181444989169,1013.25,70.0,0.0,0.0,0.0,6.7181444989168995,0.0,0.0,20.0
2012-01-07 08:00:00,5.1409822497765445,272.6450430494219,8.72124830381614,1013.25,70.0,0.0,0.0,0.0,6.7212483038161395,0.0,0.0,20.0
2012-01-07 09:00:00,4.91940107070901,274.16877383315733,8.852756243976842,1013.25,70.0,4.700000286102294,0.0,4.700000286102294,6.852756243976842,0.0,0.0,20.0
2012-01-07 10:00:00,4.941401377098012,280.6921385441556,9.2887433950782,1013.25,70.0,19.83644738006836,0.0,19.83644738006836,7.2887433950782,0.0,0.0,20.0
2012-01-07 11:00:00,4.6271323673727975,284.9216470517837,9.772551023854703,1013.25,70.0,23.857330627186016,0.0,23.857330627186016,7.772551023854703,0.0,0.0,20.0
2012-01-07 12:00:00,4.788835586711412,292.5650222480889,10.334447662766138,1013.25,70.0,55.94345464264455,0.0,55.94345464264455,8.334447662766138,0.0,0.0,20.0
2012-01-07 13:00:00,5.16391672623763,298.0153267572728,10.488859563235621,1013.25,70.0,137.378367258736,47.505036504019365,122.72901878792943,8.488859563235621,0.0,0.0,20.0
2012-01-07 14:00:00,4.89880925963877,297.1665214569117,10.481227462876802,1013.25,70.0,164.93785563758982,288.17608832768576,91.81935085061008,8.481227462876802,0.0,0.0,20.0
2012-01-07 15:00:00,4.244983065003248,294.2827160072843,9.687268977435679,1013.25,70.0,105.31491123048484,329.0115606505329,51.92158462050167,7.687268977435679,0.0,0.0,20.0
2012-01-07 16:00:00,3.78211191591704,288.0919371039537,9.089312615708877,1013.25,70.0,41.73525601953475,0.0,41.73525601953475,7.089312615708877,0.0,0.0,20.0
2012-01-07 17:00:00,3.791036075798528,288.9611131094784,8.6121950780323,1013.25,70.0,1.4541161600788437,0.0,1.4541161600788437,6.6121950780323,0.0,0.0,20.0
2012-01-07 18:00:00,3.813051277884381,294.06783513208444,8.207315705557164,1013.25,70.0,0.0,0.0,0.0,6.207315705557164,0.0,0.0,20.0
