hour,wind_electricity_kW,wind_electricity_year24_degraded_kW,solar_electricity_kW,solar_electricity_year24_degraded_kW,battery_net_power_kW,battery_electricity_out_kW,battery_soc_fraction,curtailment_kW
141,195058.39723704636,,0.0,,20000.0,-0.0,1.0,175058.39723704636
142,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
143,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
144,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
145,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
146,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
147,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
148,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
149,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
150,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
151,220293.93459035727,,0.0,,20000.0,-0.0,1.0,200293.93459035727
152,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
153,220293.93459035727,,-0.0,,20000.0,-0.0,1.0,200293.93459035727
154,220293.93459035727,,1992.3057248347984,,20000.0,-0.0,1.0,202286.24031519206
155,220293.93459035727,,2579.9189320619716,,20000.0,-0.0,1.0,202873.85352241923
156,220293.93459035727,,7312.769264349207,,20000.0,-0.0,1.0,207606.7038547065
157,220293.93459035727,,34145.684288746685,,20000.0,-0.0,1.0,234439.61887910395
158,220293.93459035727,,77236.18788761078,,20000.0,-0.0,1.0,277530.12247796805
159,220290.66799178545,,73962.22092576476,,20000.0,-0.0,1.0,274252.8889175502
160,211505.76072763113,,10833.943236357858,,20000.0,-0.0,1.0,202339.70396398898
161,218909.34747924592,,0.0,,20000.0,-0.0,1.0,198909.34747924592
162,208184.23202636372,,0.0,,20000.0,-0.0,1.0,188184.23202636372
163,186448.22890894345,,0.0,,20000.0,-0.0,1.0,166448.22890894345
164,179170.23774756445,,0.0,,20000.0,-0.0,1.0,159170.23774756445
165,183098.1262263108,,0.0,,20000.0,-0.0,1.0,163098.1262263108
166,204994.491020425,,0.0,,20000.0,-0.0,1.0,184994.491020425
167,193361.71727392176,,0.0,,20000.0,-0.0,1.0,173361.71727392176
168,190392.85540166724,,0.0,,20000.0,-0.0,1.0,170392.85540166724
169,192990.12391214684,,0.0,,20000.0,-0.0,1.0,172990.12391214684
170,165190.27674232252,,0.0,,20000.0,-0.0,1.0,145190.27674232252
171,157899.66558419054,,0.0,,20000.0,-0.0,1.0,137899.66558419054
172,149057.20848716926,,0.0,,20000.0,-0.0,1.0,129057.20848716926
173,151876.8483310062,,0.0,,20000.0,-0.0,1.0,131876.8483310062
174,161187.72540928054,,0.0,,20000.0,-0.0,1.0,141187.72540928054
175,147341.94698599222,,0.0,,20000.0,-0.0,1.0,127341.94698599222
176,133546.1146066297,,-0.0,,20000.0,-0.0,1.0,113546.11460662971
177,127295.40124257548,,3638.523013186136,,20000.0,-0.0,1.0,110933.92425576161
178,139952.61635118024,,38422.79389768023,,20000.0,-0.0,1.0,158375.41024886048
179,169520.43856969505,,54374.63578329995,,20000.0,-0.0,1.0,203895.074352995
180,178976.39657864938,,44499.99067720951,,20000.0,-0.0,1.0,203476.3872558589
181,179132.14826442767,,65286.6754563565,,20000.0,-0.0,1.0,224418.82372078416
182,174349.27733338255,,76405.83066763278,,20000.0,-0.0,1.0,230755.10800101532
183,105682.04029691871,,97879.49190972211,,20000.0,-0.0,1.0,183561.5322066408
184,78488.15873884973,,15795.219532006318,,20000.0,-0.0,1.0,74283.37827085605
185,74987.86459206723,,0.0,,20000.0,-0.0,1.0,54987.86459206723
186,65157.29459043957,,0.0,,20000.0,-0.0,1.0,45157.29459043957
187,51046.81600292059,,0.0,,20000.0,-0.0,1.0,31046.81600292059
188,43135.07696258909,,0.0,,20000.0,-0.0,1.0,23135.07696258909
189,39211.961661856076,,0.0,,20000.0,-0.0,1.0,19211.961661856076
190,21753.98261590776,,0.0,,20000.0,-0.0,1.0,1753.9826159077602
191,29972.93945139187,,0.0,,20000.0,-0.0,1.0,9972.93945139187
192,42847.08194630927,,0.0,,20000.0,-0.0,1.0,22847.08194630927
193,49498.898765628735,,0.0,,20000.0,-0.0,1.0,29498.898765628735
194,46008.666866030566,,0.0,,20000.0,-0.0,1.0,26008.666866030566
195,42427.59718825793,,0.0,,20000.0,-0.0,1.0,22427.597188257932
196,43512.44961171677,,0.0,,20000.0,-0.0,1.0,23512.449611716773
197,46838.270163129804,,0.0,,20000.0,-0.0,1.0,26838.270163129804
198,49666.06472191414,,0.0,,20000.0,-0.0,1.0,29666.06472191414
199,40369.85648442702,,0.0,,20000.0,-0.0,1.0,20369.856484427022
200,22181.580361421755,,-0.0,,20000.0,-0.0,1.0,2181.580361421755
201,18395.7691988455,,426.92541065561727,,20000.0,300.3330077803268,0.9849833496109837,0.0
202,3548.1242377163057,,6352.748581518246,,20000.0,2576.3079542768996,0.8561679518971387,0.0
203,0.0,,14948.992620922083,,20000.0,1288.5222905811022,0.7917418373680836,0.0
204,17949.821176575395,,21534.668144670195,,20000.0,-4165.163252638328,1.0,2483.8229839462947
205,43791.38779461919,,41141.40286933844,,20000.0,-0.0,1.0,64932.790663957625
206,62758.41159470567,,69266.34538853753,,20000.0,-0.0,1.0,112024.75698324322
207,72222.75255810842,,51769.24101935146,,20000.0,-0.0,1.0,103991.99357745989
208,74432.24530110274,,10344.142128113695,,20000.0,-0.0,1.0,64776.38742921644
209,86101.47373365823,,0.0,,20000.0,-0.0,1.0,66101.47373365823
210,74337.62068021376,,0.0,,20000.0,-0.0,1.0,54337.62068021376
211,69705.5007222349,,0.0,,20000.0,-0.0,1.0,49705.500722234894
212,61223.55373270053,,0.0,,20000.0,-0.0,1.0,41223.55373270053
213,56949.286468201615,,0.0,,20000.0,-0.0,1.0,36949.286468201615
214,37225.61161880445,,0.0,,20000.0,-0.0,1.0,17225.611618804447
215,32011.784357522858,,0.0,,20000.0,-0.0,1.0,12011.784357522858
216,37050.382065882506,,0.0,,20000.0,-0.0,1.0,17050.382065882506
217,40032.577027425,,0.0,,20000.0,-0.0,1.0,20032.577027425003
218,32751.69699288228,,0.0,,20000.0,-0.0,1.0,12751.69699288228
219,31206.200914666442,,0.0,,20000.0,-0.0,1.0,11206.200914666442
220,27989.452448266304,,0.0,,20000.0,-0.0,1.0,7989.452448266304
221,26057.432479592215,,0.0,,20000.0,-0.0,1.0,6057.432479592215
222,19085.793934910602,,0.0,,20000.0,233.2158329309686,0.9883392083534516,0.0
223,16482.705468199154,,0.0,,20000.0,897.2690132145011,0.9434757576927265,0.0
224,1657.6605308749029,,-0.0,,20000.0,4679.168231919668,0.7095173460967431,0.0
225,0.0,,1277.5196728868382,,20000.0,4776.142940590091,0.47071019906723854,0.0
226,0.0,,10129.643606755786,,20000.0,2517.948059501075,0.3448127960921848,0.0
227,0.0,,17652.6059715524,,20000.0,598.8250072570411,0.31487154572933274,0.0
228,0.0,,25026.716798005982,,20000.0,-1231.5456155114657,0.376448826504906,0.0
229,0.0,,49168.01920519069,,20000.0,-4900.000000000001,0.6214488265049061,9168.019205190692
230,0.0,,67113.61103208344,,20000.0,-4900.0,0.8664488265049061,27113.61103208344
231,0.0,,49553.71708779668,,20000.0,-2671.023469901879,1.0,18651.580475952273
232,0.0,,15052.382939108222,,20000.0,1262.1472094111684,0.9368926395294416,0.0
233,0.0,,0.0,,20000.0,5102.040816326532,0.681790598713115,0.0
234,0.0,,0.0,,20000.0,5102.040816326531,0.42668855789678845,0.0
235,0.0,,0.0,,20000.0,5102.040816326531,0.1715865170804619,0.0
236,0.0,,0.0,,5612.382939108214,1431.7303416092382,0.1,0.0
237,0.0,,0.0,,0.0,-0.0,0.1,0.0
238,0.0,,0.0,,0.0,-0.0,0.1,0.0
239,0.0,,0.0,,0.0,-0.0,0.1,0.0
240,0.0,,0.0,,0.0,-0.0,0.1,0.0
241,0.0,,0.0,,0.0,-0.0,0.1,0.0
242,0.0,,0.0,,0.0,-0.0,0.1,0.0
243,0.0,,0.0,,0.0,-0.0,0.1,0.0
244,0.0,,0.0,,0.0,-0.0,0.1,0.0
245,0.0,,0.0,,0.0,-0.0,0.1,0.0
246,0.0,,0.0,,0.0,-0.0,0.1,0.0
247,0.0,,0.0,,0.0,-0.0,0.1,0.0
