surface_tilt_deg,surface_azimuth_deg,NPV_over_CAPEX,AEP,LCOE,Revenues,CAPEX
10.0,189.4736842105263,0.7595372226069408,1381.066052181973,35.468375284701445,46.11608340992765,456.1934548090319
10.0,208.42105263157893,0.7633683523951277,1383.5884472785076,35.414012383669224,46.20571091422994,456.1934548090319
10.0,227.36842105263156,0.764351715889478,1383.818778441631,35.410709647252865,46.228716247041255,456.1934548090319
10.0,246.3157894736842,0.7622808689663334,1381.6424379689313,35.46024054536828,46.18026974384894,456.1934548090319
10.0,265.2631578947368,0.757282806401751,1377.2461900026462,35.55911353460675,46.06334238853159,456.1934548090319
10.0,284.2105263157895,0.7498706761226916,1371.090699059471,35.69833946573304,45.889939038813694,456.1934548090319
10.0,303.1578947368421,0.7408376045317965,1363.853690919009,35.86429904222454,45.67861451898868,456.1934548090319
10.0,322.1052631578947,0.731291925015344,1356.3843493145596,36.038114013636395,45.45529777452149,456.1934548090319
10.0,341.05263157894734,0.7227648151588454,1349.5992960584242,36.192568698108914,45.24904768957321,456.11073598780155
10.0,360.0,0.7155510657746967,1344.322777802458,36.32328515834726,45.087047674077716,456.1934548090319
20.0,0.0,0.6954199417660097,1324.0113616540386,36.82566876930184,44.61608936583608,456.1934548090319
20.0,18.94736842105263,0.6887684733244217,1318.5565606125676,36.953162240154256,44.4538632539326,456.11073598780155
20.0,37.89473684210526,0.6875133468226289,1318.0021617337418,36.964513147012894,44.42450547585617,456.11073598780155
20.0,56.84210526315789,0.6916814410281422,1322.2544855766205,36.85506379730307,44.52199842538146,456.11073598780155
20.0,75.78947368421052,0.6996053919666468,1329.947714554822,36.66203961206594,44.707341968688766,456.11073598780155
20.0,94.73684210526315,0.710208178051518,1339.876814744288,36.417984772446,44.955344254057586,456.11073598780155
20.0,113.68421052631578,0.7226627917924768,1351.0846326697113,36.14989523343627,45.246661333023354,456.11073598780155
20.0,132.6315789473684,0.7363210188015709,1362.9327884880115,35.87815165387933,45.572951090875215,456.1934548090319
20.0,151.57894736842104,0.7510451902509778,1374.657119852595,35.611117646280675,45.917416252039594,456.1934548090319
20.0,170.52631578947367,0.7648176759659447,1385.1893647736904,35.37868265488964,46.23961716689183,456.1934548090319
20.0,189.4736842105263,0.7759769278089248,1393.35135621879,35.20420958351799,46.500682687473024,456.1934548090319
20.0,208.42105263157893,0.783268505517779,1398.1928106102337,35.10454403759164,46.67126576572999,456.1934548090319
20.0,227.36842105263156,0.7852783012326172,1398.752882326748,35.097062524490504,46.71828400422293,456.1934548090319
20.0,246.3157894736842,0.7814528671723177,1394.6814782513716,35.18931893103391,46.62878974883256,456.1934548090319
20.0,265.2631578947368,0.7720617945847731,1386.2879221848414,35.374488572579814,46.409089961751825,456.1934548090319
20.0,284.2105263157895,0.7580635225461954,1374.4051717659897,35.63853099390133,46.081606880591025,456.1934548090319
20.0,303.1578947368421,0.7408168312111771,1360.390629900832,35.95776975431952,45.67812853678863,456.1934548090319
20.0,322.1052631578947,0.7227825181462583,1346.0462528777387,36.294562084472645,45.25622414795822,456.1934548090319
20.0,341.05263157894734,0.7069802717626892,1333.4335063408728,36.597073725154345,44.88653792378057,456.1934548090319
20.0,360.0,0.6954199417660097,1324.0113616540386,36.82566876930184,44.61608936583608,456.1934548090319
30.0,0.0,0.6799837797841376,1304.5369463168952,37.312094620059135,44.24838668797946,456.11073598780155
30.0,18.94736842105263,0.6712184629265584,1297.5604596088485,37.488343894939014,44.04336334833451,456.11073598780155
30.0,37.89473684210526,0.6706646743467872,1298.105548923611,37.47208238970735,44.030410070554964,456.11073598780155
30.0,56.84210526315789,0.6771757849518797,1305.2074918143903,37.284725498489614,44.18270686287223,456.11073598780155
30.0,75.78947368421052,0.6877939514362964,1316.0767825509274,37.00389468742673,44.431068900310606,456.11073598780155
30.0,94.73684210526315,0.7010989758918147,1329.2635276093704,36.673798372915286,44.74227733604097,456.11073598780155
30.0,113.68421052631578,0.7166371264050517,1343.8818197531828,36.3185615133066,45.105719247142595,456.11073598780155
30.0,132.6315789473684,0.7339628832671091,1359.368285582135,35.959916071112715,45.51778360388167,456.1934548090319
30.0,151.57894736842104,0.7534423459618218,1374.9193592897261,35.60168546782156,45.966604158949316,456.11073598780155
30.0,170.52631578947367,0.7714983200438584,1389.0536042845467,35.29910147521547,46.395907736238144,456.1934548090319
30.0,189.4736842105263,0.7867662476622233,1400.2223778744342,35.0646102576927,46.753093820750756,456.1934548090319
30.0,208.42105263157893,0.796724388429357,1406.8892988138746,34.93147425679226,46.98605990485504,456.1934548090319
30.0,227.36842105263156,0.7995816446557964,1407.6662292490628,34.92363809116725,47.0529040889173,456.1934548090319
30.0,246.3157894736842,0.7943318149126336,1402.0051327257459,35.05096739075406,46.930086757240744,456.1934548090319
30.0,265.2631578947368,0.7815498565988439,1390.3987400700723,35.30547182750012,46.63105877147702,456.1934548090319
30.0,284.2105263157895,0.7623510130033655,1373.8618960527142,35.67052275435941,46.18191073105857,456.1934548090319
30.0,303.1578947368421,0.73869289647982,1354.1587234721883,36.11912661786852,45.628440068948294,456.1934548090319
30.0,322.1052631578947,0.7145987914944911,1334.232999996286,36.58584641591425,45.058041994001805,456.11073598780155
30.0,341.05263157894734,0.6946153023409467,1317.3306793762997,37.00132328139466,44.597265199723516,456.1934548090319
30.0,360.0,0.6799843803684273,1304.5369463168952,37.31209542325395,44.248400735822656,456.11073598780155
40.0,0.0,0.66594154441025,1285.6795037370741,37.802315306924946,43.919934672015465,456.11073598780155
40.0,18.94736842105263,0.6569853362504899,1278.6349737942007,37.98570819221723,43.71044632866121,456.11073598780155
40.0,37.89473684210526,0.6585292851546661,1281.62772833234,37.90363054609995,43.746559747687435,456.11073598780155
40.0,56.84210526315789,0.6666918223366417,1291.1510519925394,37.64638584186497,43.93748389341044,456.11073598780155
40.0,75.78947368421052,0.6784692732168313,1303.8692711751885,37.31108043675202,44.212961933873174,456.11073598780155
40.0,94.73684210526315,0.6931466972914999,1318.902573703735,36.926973804150805,44.55627120039125,456.11073598780155
40.0,113.68421052631578,0.7103949899277773,1335.5799219908708,36.515598268978984,44.9597138387946,456.11073598780155
